1uM,,250nM,,500nM,,750nM,,100nM,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
800,0.0129876334685697,800,-0.0162361506064464,800,0.0101133328186358,800,-0.0124296315839545,800,0.0163292549387079
799,0.0135357108939409,799,-0.0158178209266827,799,0.0101245936980696,799,-0.0130430955133098,799,0.0162640811713628
798,0.0134309045954186,798,-0.0156180940819906,798,0.0102255042085245,798,-0.0124528244333758,798,0.0161388137520284
797,0.0130428475690233,797,-0.0159534829249215,797,0.0103719827602661,797,-0.0127109310717871,797,0.0161356435740025
796,0.0129135722424986,796,-0.0157338969093338,796,0.00968023581897643,796,-0.013029932382766,796,0.0158833125374451
795,0.0131449721419384,795,-0.0160520833000506,795,0.0100877120938215,795,-0.0130271188374631,795,0.0161955316100381
794,0.0131037779406998,794,-0.0158836108083119,794,0.0102676720317873,794,-0.0128032328366621,794,0.0164276388188717
793,0.0131494546482576,793,-0.0160460960614279,793,0.00989895487774144,793,-0.013127139226875,793,0.0161248167845376
792,0.0134910616535672,792,-0.015280046897602,792,0.010440414663401,792,-0.0122940216975586,792,0.0161498558239617
791,0.0127238763004551,791,-0.0162256773245807,791,0.00989413504077431,791,-0.0128967211613762,791,0.0160083182657106
790,0.0136034145218903,790,-0.014930881677973,790,0.0102857224897306,790,-0.0123706125222461,790,0.0162787544943028
789,0.0132091457643511,789,-0.0156357236717958,789,0.0103488122154592,789,-0.0124823042286122,789,0.0160525018279667
788,0.0128618942159093,788,-0.0156035104243588,788,0.0102829923429444,788,-0.012810471361201,788,0.0157669056179156
787,0.0131256818837861,787,-0.015637371727183,787,0.0102403459672575,787,-0.0128225353006685,787,0.0160200016276856
786,0.0131932148784638,786,-0.0155797859623753,786,0.0104620520999562,786,-0.0124909063173061,786,0.0158786674755159
785,0.0129907274064164,785,-0.0160726887487767,785,0.00971252972883581,785,-0.0129946110189358,785,0.0154743079524206
784,0.0128827993436085,784,-0.0155815840722529,784,0.0102090198496026,784,-0.0122606033341254,784,0.0162787276196318
783,0.0135520282389096,783,-0.015327127469148,783,0.010891072394857,783,-0.0121525296670578,783,0.0164380430075938
782,0.0129804854895542,782,-0.0157400881702061,782,0.00984924956737059,782,-0.0128075055914305,782,0.0158652695694219
781,0.0132901434770115,781,-0.0151693724617965,781,0.0102083043047834,781,-0.0127385834407624,781,0.0165128422127807
780,0.0131225869843703,780,-0.0157894653095618,780,0.0102101329216646,780,-0.0128528947321469,780,0.0159457706228159
779,0.0129764581352836,779,-0.0152881939009546,779,0.0103027664154467,779,-0.0125754593016709,779,0.0158995572198453
778,0.0131534302431706,778,-0.016077727704898,778,0.0104110891722742,778,-0.0127832760018148,778,0.0158507712990119
